geneName,type
FBXO36,E7-EPI
FAM162B,E7-EPI
SHD,E7-EPI
CREB3L1,E7-EPI
ZNF462,E7-EPI
EPHX3,E7-EPI
RAB29,E7-EPI
G6PC3,E7-EPI
TMEM246,E7-EPI
ADAMTS12,E7-EPI
STOM,E7-EPI
CDCA7L,E7-EPI
RAP1GAP2,E7-EPI
PLIN3,E7-EPI
GRM4,E7-EPI
ARHGEF10,E7-EPI
LRRC2,E7-EPI
PPAP2C,E7-EPI
GSDMD,E7-EPI
PCSK1,E7-EPI
GPNMB,E7-EPI
LINC00261,E7-PE
P4HA1,E7-PE
COL4A1,E7-PE
HNF1B,E7-PE
FRZB,E7-PE
AMOTL1,E7-PE
PDGFRA,E7-PE
CADM1,E7-PE
NID2,E7-PE
APOA1,E7-PE
RSPO3,E7-PE
CTSE,E7-PE
GATA4,E7-PE
DPP4,E7-PE
FN1,E7-PE
MYL4,E7-PE
TRIM2,E7-PE
COL4A2,E7-PE
DENND2C,E7-PE
NID1,E7-PE
IGF1,E7-PE
FLRT3,E7-PE
LOC101929344,E7-PE
BMP6,E7-PE
CAMK2D,E7-PE
CELA3A,E7-PE
CDH2,E7-PE
DUSP4,E7-PE
CDH11,E7-PE
SP8,E7-PE
ROBO1,E7-PE
PITX2,E7-PE
BMP2,E7-PE
SALL1,E7-PE
ADD3,E7-PE
OTX2,E7-PE
RGS5,E7-PE
SLCO2A1,E7-PE
CELA3B,E7-PE
ALDH1A1,E7-PE
MTTP,E7-PE
ITIH5,E7-PE
KCNJ16,E7-PE
PRCP,E7-PE
MARCKS,E7-PE
SERPINE2,E7-PE
COL18A1,E7-PE
SYT13,E7-PE
LOC400043,E7-PE
LEPRE1,E7-PE
CACHD1,E7-PE
VIL1,E7-PE
GCNT3,E7-PE
TNIP3,E7-PE
HNF4A,E7-PE
CPN1,E7-PE
HABP2,E7-PE
LRRC16A,E7-PE
GPR161,E7-PE
GCKR,E7-PE
NOG,E7-PE
RNASE1,E7-PE
DYNLT3,E7-PE
CCAT1,E7-PE
ANKRD1,E7-PE
TMEM88,E7-PE
GATA6,E7-PE
CMBL,E7-PE
LOC101929767,E7-PE
KIT,E7-PE
HS3ST1,E7-PE
MGST2,E7-PE
LBH,E7-PE
SERPINH1,E7-PE
LGALS2,E7-PE
PAG1,E7-PE
SRGAP1,E7-PE
GPX2,E7-PE
CAPN13,E7-PE
LEPREL1,E7-PE
ATP1B1,E7-PE
CREB3L3,E7-PE
PITX1,E7-PE
SOX17,E7-PE
BAMBI,E7-PE
RAB3B,E7-PE
SLC3A1,E7-PE
TRPC7,E7-PE
FNDC4,E7-PE
LOC100996324,E7-PE
SMLR1,E7-PE
LOC100507002,E7-PE
SOAT2,E7-PE
LOC100507420.uid_10772,E7-PE
HSD17B2,E7-PE
CLDN19,E7-PE
GNG2,E7-PE
LOC100507420.uid_10773,E7-PE
SLC35E4,E7-PE
PLEKHA4,E7-PE
PTGES,E7-TE
DAB2,E7-TE
ATP6V1B1,E7-TE
EMP2,E7-TE
TACSTD2,E7-TE
SLC7A4,E7-TE
PRSS8,E7-TE
ATP6V0A4,E7-TE
SLC28A3,E7-TE
S100A6,E7-TE
FABP3,E7-TE
TMPRSS13,E7-TE
PPT1,E7-TE
LRP2,E7-TE
ABCG2,E7-TE
ENPEP,E7-TE
BASP1,E7-TE
